,sector,Year,FDI(million $)
0,METALLURGICAL INDUSTRIES,2000,22.69
1,MINING,2000,1.32
2,POWER,2000,89.42
3,NON-CONVENTIONAL ENERGY,2000,0.0
4,COAL PRODUCTION,2000,0.0
5,PETROLEUM & NATURAL GAS,2000,9.35
6,BOILERS AND STEAM GENERATING PLANTS,2000,0.0
7,PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),2000,0.0
8,ELECTRICAL EQUIPMENTS,2000,79.76
9,COMPUTER SOFTWARE & HARDWARE,2000,228.39
10,ELECTRONICS,2000,8.34
11,TELECOMMUNICATIONS,2000,177.69
12,INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),2000,81.5
13,AUTOMOBILE INDUSTRY,2000,195.33
14,AIR TRANSPORT (INCLUDING AIR FREIGHT),2000,0.0
15,SEA TRANSPORT,2000,2.41
16,PORTS,2000,0.0
17,RAILWAY RELATED COMPONENTS,2000,0.0
18,INDUSTRIAL MACHINERY,2000,5.48
19,MACHINE TOOLS,2000,1.42
20,AGRICULTURAL MACHINERY,2000,3.64
21,EARTH-MOVING MACHINERY,2000,0.0
22,MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2000,44.5
23,"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2000,12.2
24,MEDICAL AND SURGICAL APPLIANCES,2000,5.42
25,INDUSTRIAL INSTRUMENTS,2000,1.01
26,SCIENTIFIC INSTRUMENTS,2000,8.07
27,"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2000,0.0
28,FERTILIZERS,2000,0.0
29,CHEMICALS (OTHER THAN FERTILIZERS),2000,111.14
30,PHOTOGRAPHIC RAW FILM AND PAPER,2000,0.0
31,DYE-STUFFS,2000,1.05
32,DRUGS & PHARMACEUTICALS,2000,35.94
33,"TEXTILES (INCLUDING DYED,PRINTED)",2000,2.06
34,PAPER AND PULP (INCLUDING PAPER PRODUCTS),2000,60.04
35,SUGAR,2000,0.0
36,FERMENTATION INDUSTRIES,2000,16.02
37,FOOD PROCESSING INDUSTRIES,2000,45.75
38,VEGETABLE OILS AND VANASPATI,2000,0.0
39,"SOAPS, COSMETICS & TOILET PREPARATIONS",2000,0.0
40,RUBBER GOODS,2000,0.1
41,"LEATHER,LEATHER GOODS AND PICKERS",2000,9.75
42,GLUE AND GELATIN,2000,0.0
43,GLASS,2000,33.87
44,CERAMICS,2000,4.03
45,CEMENT AND GYPSUM PRODUCTS,2000,67.72
46,TIMBER PRODUCTS,2000,0.0
47,DEFENCE INDUSTRIES,2000,0.0
48,CONSULTANCY SERVICES,2000,4.25
49,"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",2000,71.38
50,HOSPITAL & DIAGNOSTIC CENTRES,2000,0.0
51,EDUCATION,2000,0.0
52,HOTEL & TOURISM,2000,13.2
53,TRADING,2000,11.49
54,RETAIL TRADING,2000,0.0
55,AGRICULTURE SERVICES,2000,17.52
56,"DIAMOND,GOLD ORNAMENTS",2000,18.83
57,TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),2000,20.23
58,PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),2000,0.0
59,COIR,2000,0.0
